외국어연수평가원,중국어듣는사람,0,"['나 저번 여름에 들음!', '빡쎄지만 수료 못한 사람은 없다고 들음!', '같이 들었던 친구한테 ㅋㅋ']"
데이터중국어 기말고사,"그니까 시험 목요일인가지?
걍 내일 수업은 시험범위 아닌거고?",0,"['12번째 책 한 페이지인가 남은 거까지 아닐까..?', '오늘 수업 마지막에서 교수님이 낼 수업부분은 시험범위아니라고 하싲지 않았어..? 내가 잘못 이해한건가... ㅠㅠㅠㅠㅠ 그럼 내일 것도 공부해야겠넹...?', '일단 12번째 책까지 시험범위이다. 이 말 자체가 내일 쉅 때 12번째 마지막 페이지는 들어간다는 말 아니야..? 아마 맞는 것 같아 왜냐면 12번째 책 한 페이지 남았는데 그 마지막 페이지에 随초록색 글자 있어서.. 들어갈둣!', '유얼 쏘 카인드 ㅠㅠ 고마웡!! 시험 잘 봐!!😍', '쓰니도 화이팅😉', '우리 시험범위 중간 이후부터지??', '설마 누적은 아니지??', '아니징~']"
왜 이렇게 암울한 얘기 밖에 없어,"코로나
중국은 맨날 한국 후려침
우리학교도 맨날 후려쳐짐
남자 여자 나눠서 맨날 싸워
진짜 징글징글해",0,[]
이번 외대알리 올라온 사범대 이야기말인데,"어디 다른데서 확인할데가 없어서 기사만 보고 궁금한 점들을 적어보려구

국가에서 진행한 평가에서 C등급 받았으면, 학교나 학생이나 교수나 다 똑같이 잘했단 소리는 못 들었다고 생각하면 되지 않나..?

+ 사범대 미설치대학이 되는거(내 생각에 사범대 자체를 폐지하는 걸 말하는거 같은데, 맞는지 답해줘)에 대해 사범대 전체회의에서 다 합의했는데 영어교육과만 반대했다는게 무슨 뜻인지도 잘 모르겠음

+ 중국어교육과는 보니까 신설되고 평가도 못 받았는데 독일어교육과랑 프랑스어교육과랑 합쳐지게 생겼네..",2,"['교원양성기관평가에서 재학생의 역량이 영향을 미치기 어려워ㅠ 사실 사범대생이면 공감할텐데 우리 사범대 진짜 일 뭣같이 해 사범대를 운영할 마음이 있나 싶을정도로 지원도 뭣도 없어ㅠㅠ그런 것들이 종합적으로 평가된 거지ㅠ', '혹시 평가기준표라거나 이번에 사범대가 받은 채점표 같은걸 볼 수 있을까? 그러면 누가 어디서 뭘 잘못했는지 대충 범인잡기가 가능할텐데.. 물론 범인이 잡혔다고 그 집단(교수진이라거나, 학과가 될 수도 있겠지?)에게 패널티를 줘선 안 되겠지만.. 그게 있어야 사범대 외부에서도 학생들의 일을 공감하거나 객관적으로 볼 수 있을 것 같은데', '중요한 평가요소가 교직 수업 정원 전공 수업 정원 뭐 이런식으로 인프라가 중요한 평가 요소야ㅠ 나도 우리 학교가 받은 채점표 좀 보고싶다ㅠㅠ', '사범대 학생들도 채점 결과를 받아본게 없구나.. 그럼 교수진들이 사범대 미설치대학에 동의했는데 영어교육과가 반대해서 막혔다는건, 그만큼 영어교육과 목소리가 내부에서 크단 소린감..?', '사범대 그 누구도 그 회의 참석 안했을걸..근데 영교랑 한교가 사범대 내에서 목소리가 클 수밖에 없지 학생 정원 자체도 많고 오래되고 주요과목이니까']"
중국이란 나라자체가 극혐이긴한데,확실히 땅덩어리가 넓으니까 전세계에서 볼수있는 지리는 풍경이 중국에서 비슷하게 다 있는듯,0,"['중국이 극혐인건 중국인이 극혐이기 때문이지', '땅은 죄가 없자너']"
정시 다군 일반전형,"경영 EICC 중국외교통상 융합일본지역
이 4개 모집하면 서울캠퍼스 다군 경쟁률 15이상 무조건 나올 것 같은데 어때?",1,"['ㄹㅇ 다군가서 원서비 많이 벌면 학교도 좋을텐데,, 정시가 수시처럼 시험보고 면접보는 것도 아니니 전화좀 많이 돌리는 거 말고는 비용도 안들텐데', '정시 잘 몰라서 그런데 가나다군이 동시에 돌아가는거야? 아니면 가군 뽑고 나군 뽑고 이래? 다군은 왜 안쓰는지 궁금해', '쉽게 말해서 수시가 6장의 카드가 있듯이 정시도 3장의 카드를 주기 위해서 군을 나눴다고 생각하면 돼! 가군 나군 다군 군별로 대학교, 학과들이 다 다르고 여기서 골라서 하나씩만 쓰는 거야!', '가나다 세번 접수 기회가 있는데 서연고서성한 다 가나군에 있어서 다군에서 젤 높은게 중앙대고 그담에 건대임 서연고서성한 써도 무조검 중앙대 써야해서 10바퀴씩 돈다더라', '그리고 이번에 외대 경영이 다군으로 가면서 다군에 높은 대학에 중앙 외대 정도라서 많이 몰리는것!', '다군은 가군이나 나군에 비해서 대학 수, 학과 수도 적고 특히 상위권 수험생들이 쓸만한 학교랑 학과들이 적어서.. 아주 높은 친구들 아니면 그냥저냥 가군 나군에 안정으로 박은 친구들은 다군 안 쓰기도 해', '그냥 동등한거구나? 근데 왜이렇게 가나군에 몰려서 중대만 이득본거지ㅠ', '다군은 옛날 후기전형처럼 약간 패자부활전 느낌? 그래서 자존심 있는 학교들은 다군 모집을 안해. 다군은 지원자는 많아도 그만큼 많이 빠지기도 하고', '외대도 예전에 다군에서 모집했었는데 언젠가부터 다군에서 철수하더니.. 다시 올해부터 가게 됐어! 외대 시립대 이런 대학들이 철수하니까 중앙대가 독식했었어..', '다군은 예전부터 가나군에서 밀려난 대학이 가는곳이라는 인식이 강한듯', '익6 말대로 다군은 약간 이미지가 안 좋지.. 그래서 상위권 대학들은 다군에 잘 안 넣으려고 하지..', '아 그런거구나 이해 확 되네 상위권 자존심 부리는거였네 다들 설명 고마워🥰', '그냥 영중일 학과들 통합하고 영어학부, 중국학부, 일본학부 이렇게 다군에 넣어버리면 좋을듯', '나눠진지 10년만에 다시 합치라고? ㅋㅋㅋㅋㅋ', '정확히는 동양어대에서 나온지 10년 두개 세개의 학부로 나눠진지 5-6년 된듯', '과는 통합안해도 모집은 통합해서 하면 좋을듯', '광역모집이 좋기는 한데.. 학교가 할 생각을 안한다..^^ 그냥 광역 안 할 거면 저 3개 과만 다군으로.. 갔으면 해', '광역모집하면 중대 일대 상위권은 거의다 중외통 융일지 갈듯ㅋㅋㅋㅋ', '광역모집 실시여부 4월달에 결정해서 만약에 하면 2023년부터 한다는것 같아. 교수진 찬반이 팽팽해서 어케될진 모르겠는데 해야된다는 여론이 총장,부총장, 몆몆 교수님들이나 입학처 중심으로 강하게 나오고는 있음', '서대랑 아대는 워낙 크고 많이 뽑아서 안 할수도 있지만.. 영어대, 중국어대, 일본어대는 광역모집 무조건 실시해서 다군으로 옮겼으면 좋겠다..', '딴데보다도 서대랑 아대 광역모집을 해야 입결이 안털림. 서대랑 아대 특수어과들 입결은 최근 몆년간 외대 입결 전반적으로 하락하기 이전에 이미 건대한테 꼬리털리고 있었음', '서대랑 아대 광역하면 서양어대학은 정시로 한번에 130명 가량을... 아대는 75명... 빵꾸가 안 날까..?', '서대, 아대 광역모집하고 2개 다 다군으로 보내야 빵꾸를 막지 않을까..', '통합모집은 몰라도 제발 반영 비율 좀 다르게 했으면 좋겠음']"
짱x 유투버 liziqi,"중국 시진핑의 문화 꼭두각시역할을 하는 1400만 중국 유투버가 이번엔 김치마저 Chinese food라는 해시태그를 달고 영상을 올렸다고 합니다.
현재 댓글에서는 한국인의 전투력이 폭발한 상태이며 댓글과 싫어요와 신고 하나씩 부탁드립니다^^

https://youtu.be/B6bJ_vTslyo",6,"['외대가 출동할 때다!!! 가자!!! 출동!!!', '한국인들 모여라!!', '중국 유튜버 전서소가도 똑같은 짓 했음 ㅋ 쌈이 중국문화라고', '진짜 한 두번도 아니고 우리가 유투브 문화경찰해도되겄어~!', '우리도 이소룡 이씨니까 한국인이라고 우기자...', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 중국한테 부러운건 자본뿐 ㅋㅋㅋ', '🇨🇳=🪳', '👍👍', '응? 어떻게공유해? 와 근데 한 20분만에 3000개넘는 댓글이 추가됐어 ㅋㅋㅋㅋ 좋아요만 100개 넘게 누른듯 ㅋㅋㅋㅋ', '헐 쪽지줄래? 근데 나 중국어몰라 ㅋㅋㅋ ㅠ', '이거 뉴스에 뜬거봤는뎈ㅋㅋㅋㅋ 근데 이 영상이 김치 영상중에 제일 역대급 영상퀄리티라면서 막 칭찬한다더라,,;', '근데 내생각에는 중국 역사가 엄청 길고 막 중화 상하 5000천년 그러잖아 그리고 한국도 중국문화 영향을 많이 받았고 微博에서 봤는데 중국 옛 시에 김치를 만든 방법이 나와있어 하지만 그때는 김치라고 안불렀지 그리고 중국인들은 자신의 문화를 거의 다 버렸고 김치를 전 세계에서 넓히 알린거는 한국이잖아 외국 사람한테 물어보면 다들 한국 김치만 알지 누가 중국 얘기를 해 ㅋㅋㅋ']"
넷플릭스에 있는 중국영화 추천받아용!!,재밌게본거 있음 추천부탁드립니당,0,"['대만도 가능? 상견니 미침', 'ㅇㅈㅋㅋ', '상해보루', '먼훗날우리']"
중국어 잘 아시는 분들 hsk4급에서 5급 따기까지 얼마나 걸리나요???,4급은 240점 정도 나왔구요! 일주일에 세네번 세시간 이상씩 공부한다는 전제하에 몇달 정도 걸릴까요???,0,"['한달이면 가능', '중국어는 딱 4급만 공부해본거야???5급까지는 단어 엄청 외우면 커버 가능하다 생각함', '고등학교때 제2외국어로 배웠고 지금은 졸업한지 4년 지났는데 약간이지만 예전에 배운게 아까워서 요즘 취미로 다시 공부 시작했어요!', '이거 나도 궁금 나도 4급따리라', '4급따고 2~3년 후에 5급 땄는데 매일 공부해서 3달 걸렸어요']"
중국어 2장 정도 한국어로 번역해주실 분!,페이는 협의해요~,0,['나']
난 중국이 싫어,"중국인들에 대한 개인적인 감정은 없지만 중국 정부가 무섭고 싫어. 나 샤이닝니키라는 게임 깔아서 했어서 실시간으로 그 게임이 어떻게 섭종하는지 다 봤거든? 그때부터 쎄했는데 여신강림 ppl도 그렇고 그냥 너무 싫다 짜증나... 리즈치라는 유명 유튜버는 김치가 지네꺼라고 올리고... 중국에서 유튜브 막혀있어서 사실상 정부랑 연결된 채널이라며ㅋㅋㅋㅋ

예전엔 안 그랬는데 중국 경제가 발전하면서 점점 노골적으로 주변국들 건드리는 것 같음... 한국만 해도 한복 한글 김치 다 자기네 꺼라고 우기고... 근데 무서운 건 걔네는 13억이나 되잖아 13억이 정부한테 세뇌당해서 그게 진짜라고 밀어붙이면 5천만도 안 되는 우리나라가 버텨낼 수 있을까? 난 그게 너무 무서워

두서없이 썼는데 중국 진짜 존나싫음 망했으면",0,"['난 앙스타했는데 hk검열하는거보고...', 'ㅋㅋㅋ샤이닝니키도 문제되니까 홍콩 코리아 이런 거 다 금지어 지정하더라...찐으로 소름돋았잖아 쟤넨 정상국가가 아님', ""나도 중국'인'은 싫은데 중국 정부는 너무 싫고 하루빨리 중국이 여러 나라로 나뉘어지면 좋겠어 원차이나는 개뿔 진짜 홍콩이나 독립시켜줘라""]"
퍼스널 컬러가 뭘까,중국 인스타 스타인데 퍼스널 컬러가 뭘까 가을 뮤트?,0,"['lilililililico 얌!', '나 비슷한데 가을웜인듯', '오옹 고마오', '갈뮽으로 컨셉 잡은듯', '정확한 피부톤은 모르겠지만 화장 머리색은 갈뮽 느낌 내려고 한 거 같지', 'ㅇㅇ갠적으로 어울리지는 않아보여', '이건 다른 얘긴데 뭔가 저사람 화장이 임보라 분위기 나지 않아? 임보라는 가을뮤트 !! 난 잘어울린다고 생각햇거든 저 사람 갈뮽이랑', '임보라 느낌 ㅇㅇ', '뮤트같당', '짱깨 ㄱㅐ극혐']"
중국의 정치에 대해서 궁금한 점,"중국은 정부나 공산당이 자국의 국민이 주인이 되는 국가라고 주장해? 아니면 헌법 상 어떻게 표기가 되어 있어?

만약 민주적인 국가라고 헌법에 표기 되어있다면 중국을 민주적인 국가라고 할 수 있을까?",0,"['민주주의인민공화국이라면 당연히 국가의 주인은 국민아니야?', '1. 중국처럼 당 국가체제인 나라는 헌법보다 중국 공산당 당헌이 더 우위에 있어... 2. 중국 헌법 제1조 ①중화인민공화국은 노동자 계급이 지도하고 노농 동맹을 기초로 하는 인민 민주주의 독재의 사회주의 국가이다. 제2조 ①중화인민공화국의 모든 권력은 인민에게 속한다. 인민이 국가권력을 행사하는 기관은 전국인민대표대회와 지방각급인민 대표대회이다. 정도가 원하는 답인듯', '자유민주주의(미국, 영국, 프랑스 등 선진국) 인민민주주의, 민주집중제(소련, 중국, 북한 등 사회주의 국가)는 달라요.. 후자를 우리가 생각하는 민주주의라고 볼 수 있을까', '똑똑해서 부럽다 ㅠㅠ 고마워', '참고할게 고마워!']"
현실적으로 올해 2학기 중국 유학 불가능하겠지..?,어떻게생각해...?,0,"['안될듯', '그런가ㅠㅠ', '무섭지.. 근데 지금 아니면 못갈거같아서ㅠ...', '그쪽에서 안되수도 있는거캍더라 내동생은 일본쪽대학 작년2학기붙었는데 그쪽 학교서 안받아주고 미루더라ㅠ잘알아봐ㅠ']"
일본어 N2수준에 중국어 공부하면,"헷갈리겠지..?
n1따고 좀 더 공부하다가 중국어 시작하는게 나아?ㅠ",0,"['안햇갈려 ㅋㅋㅋ', '나는 hsk5급 수준에서 일본어 공부중인데 좀 헷갈리더라ㅠㅠ']"
탕화쿵푸 넙적당면,이게 중국당면인가요??!!,0,['ㅇㅇ']
데이터 중국어 퀴즈,"퀴즈 보는데 이틀 오류 걸려서 시간 다 가버리고 제출 됐는데 어캄 ㅠㅠ 메일은 일단 보내봤는데
재응시하게 해주시려나",0,[]
국제학과나 중외통 복정하려고 하는데,"점수 따기 많이 어렵나요?
영어권 살다 와서 영어는 무리가 없는데 중국어는 hsk4급 딴게 전부입니당...",0,"['부전공* ㅎㅎ..', '중외통 교수님들 빡센 분들 많음 ㅎㅎ... 대장교수님들 0폭격기', '헉....감사합니다 센빠이', '근데 배우는 건 잼써요 중국어 못해도 꾸역꾸역 따라는 갈 수 있어요 ㅋㅋㅋㅋ 상위과목도 괜춘 현대 중국 관심 많으면 들어와여', '부전공 커리만 열심히 따라와도 회화를 어느 정도 할 수 있게 될까요? 그리고 본전공생들이랑 경쟁하나요? 에타에 보니까 이중전공 전용 수업이 안열려있어서...ㅠㅠ', '앗 중외통은 언어 수업 많이 없어요! 애초에 중국 경제정치사회 배우는 학과라서 중국어 할 거면 언문이 맞는 것 같아요! 제가 알기론 필수 언어수업 기초 생활 각 두개씩 빼고는 다 이중이랑 본전 섞어서 들어요~~', '와우 자세한 정보 감사합니다 🥺🥺 참고해서 부전공 선택하겠습니다 ㅎㅎ', '중외통은 절평인데도 학점따기가 힘든듯요.. 쉽게쉽게 받아 본 기억이 없네요..', '감사합니다.. 💛 중언문이나 국제학과 부전은 학점 따기 어떤지 아시는분 댓글 부탁드려요🐒🐒', '부전공이랑 전공이 차이점이 없다고 생각해서 전공자로서 말하자면.. 수업 정보만 잘 알아보고 듣는다면 영어 잘하는 사람 입장에서 학점 따기가 어려운 학과는 절대 아님', '아 참고로 국제학', '감사합니다🙏 근데 혹시 부전공생이랑 전공생이랑 수업 같이 듣나요?', '네 같이 들어요', '중외통이랑 중언문 둘 다 들어봤는데 엄청 빡세다고는 못느꼈어여', '근데 언문에서 언어 수업은 빡세효', '외통 무슨 수업들으셨나요.. 저도 좀 듣게', '구체적 수업은 쪽지 주세요~~', '중외통 진짜 암']"
중외통 신입생 중국어 실력,중외통에 고등학교 후배가 들어온다는데 중국어 어느 정도까지 햐두라고 할까요? 지금은 중급 정도만 햐놓으라고 할 생각이에요.,0,"['노베도 상관없어요 언어과목 실력보다 암기가 중요해서..', '아하..전 통댜여서 메이저 언어명 들어가면 다 언어쪽으로 빡센 줄 알았네요. 언능 공부하던 거 놓고 놀라고 해여겠네요. 알려주셔서 감사해요😁', '외교통상이라 지역학위주입니당 학교 시간표 한번 봐보라고 하는것도 추천두려요', '넹 감사해요', '교수님따라 다르세요 암기 안해도 문법 맞으면 괜찮은 분도 있어서 공부하고 오면 좋아요', '하면 좋은 거고 안 해도 문제는 없지만 열심히 해야 한다는 거네요!']"
노베이스로 제2외국어,"어떤거 추천하시나요? 대학원 언어과로 준비하는데 입학시험에 안타깝게도 전공언어는 없어서 새로준비해야할 것 같습니다. 준비하신 적 있거나 외국어전공이신 분들 충고나 의견 한줄씩 부탁드립니다.

독일어 스페인어 프랑스어 러시아어
일어 중국어 한문
중 택 입니다!!

수준이 어느정도로 출제되는지는 모르고, 일어나 스페인어 중 고민중입니다. 일본어는 정말 약간 독학한 정도 입니다!",0,"['일어합세다', '입학시험이라 그냥 커트만 통과하면 돼서요!! 제가 그걸 안썼네요ㅎㅎ', '그럼 저중엔 서어가 젤 쉬울듯', '스페인어', '독학을 하셨으면 일어', '회화만 약간 가능한 편이고 일본 한문을 잘 모릅니다...', '그래도 일어가 좀 낫지 않을까 싶어요 제 경험에선. 그나마 한국인이 배우기 쉬운 외국어이기도 하구요. 스페인어 사람들이 쉽다하는 것치고 생각보다 어려워서..', '일단 저기서 러시아어랑 중국어는 바로 거르면 될듯.. 단기 올인 빡공이면 스페인어 한표.', '서울대?', '네!', '과 어디 준비함? 일본어는 한군데만 받아줌']"
외대 입결 변동,"순서대로 14,15,20수능임(14수능은 15학번들이 본 수능)

그냥 재미로만 봐. 특히 15년도 메가스터디 배치표는 딱봐도 ㅂㅅ 맞는듯. 14,19은 진학사꺼
걍 최근 몆년간 경향성만 재미삼아 보면 됨.

1. 14수능때 엘디티가 한양대 파경 넘음ㄷㄷㄷ 성대 몆몆과도 넘은걸로 보임
물론 생긴지 얼마 안돼서 거품이 있었을수도 있는데 외대 간판과=한양대 간판 정도의 경향성은 이때까지는 유지는 되고 있었다고 봄

2. 15 수능때도 외대 간판과면 한양대 중상위과랑은 겹쳤던걸로 보임. 영어대랑 국통도 이때가 지금보다 훨씬 강했음. 확실한건 이때까지만해도 외대 상위권이랑 한양대 중하위권은 겹쳤음. 나부터도 약간 욕심내서 한양대 꼬리 쓸까하다가 안정적으로 외대 중간 과 썼으니까. 익씨나 국통 갈정도면 한양대 갈 수있었음

3. 19 수능꺼 보면 이제 외대 간판도 한양대 꼬리랑 비슷한 정도. 간판과들도 몆년전이랑 비교하면 하락세가 뚜렷하고, 전반적으로 내려간 경향성이 보임

4. 특수어과나 사범대 몆몆과들은 예나 지금이나 꼬리고, 건대랑 겹칠랑 말랑한것도 예나 지금이나 똑같음. 다만 지금은 특수어과가 아니더라도 전반적인 하락세 때문에 더 겹쳐보임.
머리랑 몸통은 둘다 내려왔는데 하위권은 얼추 그대로 있으면 스펙트럼이 더 좁고 전반적인 하락세로 보이는게 현실이긴 함

5.결국 몆년 사이에 전통적인 간판과들, 새로운 간판과들이 상대적으로 하락했고, 전체적으로 하락한데다가, 하위권과들은 그대로라 점점 입결이 내려가고 있는것처럼 보이는건 사실임

6.사실 중요한 계기는 영어 절평과 반영비가 크게 작용했다고 보임. 14,15는 영어 상평이었고, 이때까지만 해도 전통적으로 강한 과들은 여전히 강했음

7.영어대 과들 이름... 솔직히 이것도 영향이 있었다고 봄.

8.중국어대, 일본어대도 마찬가지. 솔직히 융일지, 중외통 같은 네이밍은 정시생들 입장에서 잘 와닿지 않음. 영어대.중,일대 다 과 네이밍을 너무 직관적이지 않게 해놈. 아니면 차라리 광역모집을 하던가.
외대 중국어대 외대 영어대와 외대 ELLT학과 중 정시 지원생들이 어느걸 더 네임벨류 있다고 생각할지 잠깐만 생각해봐도 답 나옴

9.특수어과나 하위권 학과들 방치. 몆년째 꾸준히 하위권이면 수시로 최대한 돌렸어야되는데 이걸 안함. 일시적인 빵꾸가 아니라 과 자체들이 선호도가 떨어져서 꼬리를 형성할 수 밖에 없음에도 나몰라라. 거기다가 스펙트럼이 길면 학교 전체 입결이 낮아보일수 밖에 없음.
앞으로도 특수어과는 많아도 두세개만 남기고 올수시로 하는게 맞다고 봄. 정시 인원 자체를 최소로 하고 광역모집을 하던가",19,"['괜히 11-14 애들이 학교 수준 떨어졋다고 한 게 아니네', '솔직히 15 16때까지만해도 크게 꿀리진 않았음 17은 잘 모르겠는데 최근 2,3년간은 확실히 하락한건 맞음', '외대는 80년대 이후로 꾸준히 하락세인 듯 불수능 때 잠깐 타오르다가 근데 이런 거 지적하면 틀딱 소리 들음 ㅋ', '학교 차원에서의 대책이 필요한 게 사실인데 말이야', '생각해보면 손쉬운 꼼수 써서라도 유지는 하는것처럼 보이게 할수는 있는데 그것마저도 여기저기 이권 싸움이랑 고인물들, 입결이 대수냐는 여론때문에 안하고 있음. 이러다가 망하는거 한순간인데', '근데 수시가 늘어날수록 어쩔 수 없는 문제인 듯 가끔씩 뉴스에서 군대 전역하고 나니 학과가 사라졋다 학교가 사라졋다 이런 거 보고 웃엇는데 이제 남일이 아닐 거 같은 기분이 든다', '배치표 딸은 좀...', '문제는 저때는 배치표로 자위라도 할 수 있었지 지금은 그조차도 못함', '영어대 이름 되돌리기 + 특수어과 수시로 돌리기 + 경영 다군 유지 + 반영비 조절 : 제발 좀...', '7번 적극 동의. 어디가서 ""EICC학과 내웻쒬다"" 하면 아무도 뭔지 모름 아 ㅋㅋ 그냥 예전처럼 영어통번약학과로 가자고~', '그냥 영어과라고 하면됨', '재학생들도 이런걸 생각해야되는데 수험생들은 오죽할까', '근데 영어대는 왜 따로 모집하는거야..?', '간판', '아니 익씨, 엘트, 영문 이렇게 왜 따로모집하는거냐는 말', '다른 과니까', '커리가 다 다름.', '커리가 다른거야 2학년때 세부전공으로 하면 되는거 아님? 애초에 따로 모집할이유가 없어보이는데. 이름 그따구로 지으면서까지 말이야;;', '아니 그냥 다른과임ㅋㅋ 상경대 국통 경제 다른 과인 거처럼', '신설학과는 그렇다치고 중복학과 때문인지 자꾸 이름가지고 장난치는게 벌써 후달린다는 반증으로 비춰짐 ㅋㅋ eicc ,ellt ㅋㅋㅋ 장난? 예전의 고고하고 우아하던 외영은 어디로', '그니까 글캠 영어통번역학부 왜있는지 모르겠네 이원화캠펀슨데 같은 학과가 왜 있지', '우리과는 항상 높네...... (뿌듯)', '시비거는건 아닌데 너네과만 높다고 좋아할일이 아님. 지금 다같이 떨어지고 있고 학교 네임벨류 자체가 기스나고 있음', '솔직히 아웃풋은 인풋이랑 직결된다고 보는데 좀 걱정되긴 함 ㅋㅋㅋ', '40개 가까이 되는 과를 영어반영비 ㅈㄴ 높은 구조로 똑같이 받고 있으니 외대 걸쳐볼만한 성적대 애들은 가나군 다 외대 쓰면 하나는 무조건 빵꾸 뚫리게 되어 있음... 매년 빵꾸뚫리게 받아주니 수험생들한테만 개이득이고 입결엔 하등 도움 안 되지 ㅋㅋㅋ', '그니까. 늦게는 16-17까지도 서성한급 학우들이 많이 들어왔고, 연고 목표로 잡다가 떨어져서 외대 온 학우들도 간간히 있는데, 근래 몆년간은 워낙에 심각해서 솔직히 아웃풋 걱정도 이제는 안할수 없음. 지금 아웃풋 내는건 저시절 외대 들어온 선배님들이 내는거고', '공부 좀 하던 애들이 오는 대학에서 어중이 떠중이 다 받아주는 사회복지대 다 됏네 하아..']"
노베 중국어 인강 추천 좀 해주세요,"중국어 공부해볼까 하는데 아예 노베입니다
4급 목표로 잡으면 되려나,,, 싶긴 한데 인강 추천 좀 해주세용",0,"['노베면 성조랑 발음 연습 부터 하는게 좋을거 같아요', '성조랑 발음은 학원에 가는 게 좋을까요?', '2.5단계라 운영안할 가능성이 높은데 나쁘진 않죠', '학원 운영 안 하고 있길래 인강을 찾아보려고 한 건데 ㅠㅠ 성조랑 발음은 인강으로 배우긴 좀 힘들겠죠?', '하기 나름같아요~', '감사합니다!! 혹시 괜찮은 인강 있는지 알아봐야겠네요 ㅠㅠ', '많이 듣고 말하는게 중요하니까 응원합니다 :)~ 그리고 케바케지만 노베면 이후 HsK 3급부터 하는게 단어나 문법부분에서 더 나을수도 있어요', '그렇군요!! 참고해서 열심히 공부해보겠습니다🙌🏻💕']"
